"algoRow","algoCol","pval","confidenceTier"
"MONAI_LHU-Net","MONAI_LHU-Net",NA,NA
"MONAI_SegVol","MONAI_LHU-Net",7.15338015481141e-45,"<U+2265>99.99%"
"MONAI_Swin_UNETR","MONAI_LHU-Net",3.06102619444506e-265,"<U+2265>99.99%"
"MONAI_UCTransNet","MONAI_LHU-Net",1.40611120420726e-138,"<U+2265>99.99%"
"MONAI_UNEST","MONAI_LHU-Net",1.0212259541925e-168,"<U+2265>99.99%"
"MONAI_UNETR","MONAI_LHU-Net",0,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","MONAI_LHU-Net",1.39333182337866e-19,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","MONAI_LHU-Net",0.170357307469581,"<U+2265>75%"
"_Diff-UNet","MONAI_LHU-Net",0.0402381786234022,"<U+2265>95%"
"_MedFormer","MONAI_LHU-Net",0.0607267068735605,"<U+2265>90%"
"_SAM-Adapter","MONAI_LHU-Net",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","MONAI_LHU-Net",7.08944621097871e-150,"<U+2265>99.99%"
"nnU-Net_NexToU","MONAI_LHU-Net",4.54421422604636e-25,"<U+2265>99.99%"
"nnU-Net_ResEncL","MONAI_LHU-Net",7.82351963632724e-154,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","MONAI_LHU-Net",7.3509516530065e-232,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","MONAI_LHU-Net",9.2358957691294e-183,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","MONAI_LHU-Net",3.80953625176713e-194,"<U+2265>99.99%"
"nnU-Net_U-Net","MONAI_LHU-Net",6.782686041661e-140,"<U+2265>99.99%"
"nnU-Net_UniSeg","MONAI_LHU-Net",2.0499347088493e-28,"<U+2265>99.99%"
"MONAI_LHU-Net","MONAI_SegVol",7.15338015481141e-45,"<U+2265>99.99%"
"MONAI_SegVol","MONAI_SegVol",NA,NA
"MONAI_Swin_UNETR","MONAI_SegVol",3.25369394369345e-199,"<U+2265>99.99%"
"MONAI_UCTransNet","MONAI_SegVol",1.49836893115491e-38,"<U+2265>99.99%"
"MONAI_UNEST","MONAI_SegVol",5.69111728642167e-93,"<U+2265>99.99%"
"MONAI_UNETR","MONAI_SegVol",0,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","MONAI_SegVol",2.31990884906341e-15,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","MONAI_SegVol",6.99330993870222e-48,"<U+2265>99.99%"
"_Diff-UNet","MONAI_SegVol",2.56747435993844e-35,"<U+2265>99.99%"
"_MedFormer","MONAI_SegVol",4.64346854188876e-80,"<U+2265>99.99%"
"_SAM-Adapter","MONAI_SegVol",0,"<U+2265>99.99%"
