feature,model,dpd,group_high,group_low
sex,SegVol,0.1740228707970643,F,M
sex,nnU-Net_ResEncL,0.15470230540210228,F,M
sex,STU-Net L,0.15311913295784263,F,M
sex,NexToU,0.1478104210499417,F,M
sex,U-Net_CLIP,0.14754256965944273,F,M
sex,Diff-UNet,0.14316592417182727,F,M
sex,UniSeg,0.14046765659668892,F,M
sex,LHU-Net,0.13661956754442306,F,M
sex,STU-Net B,0.133979460901964,F,M
sex,STU-Net H,0.1284946236559139,F,M
sex,Swin_UNETR_CLIP,0.12660696748938377,F,M
sex,nnU-Net U-Net,0.12455623826591566,F,M
sex,MedNeXt,0.12022529441884289,F,M
sex,MedFormer,0.1008619218296638,F,M
sex,Swin_UNETR,0.05337941628264209,M,F
sex,UCTransNet,0.04870285031575354,F,M
sex,UNETR,0.04630056323604711,M,F
sex,UNEST,0.014055299539170507,M,F
sex,SAM-Adapter,0.0,F,M
