"algoRow","algoCol","pval","confidenceTier"
"MONAI_LHU-Net","MONAI_LHU-Net",NA,NA
"MONAI_SegVol","MONAI_LHU-Net",1,"<75%"
"MONAI_Swin_UNETR","MONAI_LHU-Net",1,"<75%"
"MONAI_UCTransNet","MONAI_LHU-Net",1,"<75%"
"MONAI_UNEST","MONAI_LHU-Net",1,"<75%"
"MONAI_UNETR","MONAI_LHU-Net",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","MONAI_LHU-Net",1,"<75%"
"Vision_Language_U-Net_CLIP","MONAI_LHU-Net",0.914824256825552,"<75%"
"_Diff-UNet","MONAI_LHU-Net",0.0201190893117011,"<U+2265>95%"
"_MedFormer","MONAI_LHU-Net",0.0303633534367803,"<U+2265>95%"
"_SAM-Adapter","MONAI_LHU-Net",1,"<75%"
"nnU-Net_MedNeXt","MONAI_LHU-Net",3.54472310548936e-150,"<U+2265>99.99%"
"nnU-Net_NexToU","MONAI_LHU-Net",1,"<75%"
"nnU-Net_ResEncL","MONAI_LHU-Net",3.91175981816362e-154,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","MONAI_LHU-Net",3.67547582650325e-232,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","MONAI_LHU-Net",4.6179478845647e-183,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","MONAI_LHU-Net",1.90476812588356e-194,"<U+2265>99.99%"
"nnU-Net_U-Net","MONAI_LHU-Net",3.3913430208305e-140,"<U+2265>99.99%"
"nnU-Net_UniSeg","MONAI_LHU-Net",1.02496735442465e-28,"<U+2265>99.99%"
"MONAI_LHU-Net","MONAI_SegVol",3.5766900774057e-45,"<U+2265>99.99%"
"MONAI_SegVol","MONAI_SegVol",NA,NA
"MONAI_Swin_UNETR","MONAI_SegVol",1,"<75%"
"MONAI_UCTransNet","MONAI_SegVol",1,"<75%"
"MONAI_UNEST","MONAI_SegVol",1,"<75%"
"MONAI_UNETR","MONAI_SegVol",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","MONAI_SegVol",1.15995442453171e-15,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","MONAI_SegVol",3.49665496935111e-48,"<U+2265>99.99%"
"_Diff-UNet","MONAI_SegVol",1.28373717996922e-35,"<U+2265>99.99%"
"_MedFormer","MONAI_SegVol",2.32173427094438e-80,"<U+2265>99.99%"
"_SAM-Adapter","MONAI_SegVol",1,"<75%"
"nnU-Net_MedNeXt","MONAI_SegVol",3.66404714525617e-241,"<U+2265>99.99%"
"nnU-Net_NexToU","MONAI_SegVol",4.49567533816522e-08,"<U+2265>99.99%"
"nnU-Net_ResEncL","MONAI_SegVol",3.79546478208287e-282,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","MONAI_SegVol",2.17876914417307e-258,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","MONAI_SegVol",1.05286657077513e-216,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","MONAI_SegVol",7.61076427130683e-241,"<U+2265>99.99%"
"nnU-Net_U-Net","MONAI_SegVol",6.10985310923525e-246,"<U+2265>99.99%"
"nnU-Net_UniSeg","MONAI_SegVol",5.34424752648265e-118,"<U+2265>99.99%"
"MONAI_LHU-Net","MONAI_Swin_UNETR",1.53051309722253e-265,"<U+2265>99.99%"
"MONAI_SegVol","MONAI_Swin_UNETR",1.62684697184672e-199,"<U+2265>99.99%"
"MONAI_Swin_UNETR","MONAI_Swin_UNETR",NA,NA
"MONAI_UCTransNet","MONAI_Swin_UNETR",3.39564330455531e-73,"<U+2265>99.99%"
"MONAI_UNEST","MONAI_Swin_UNETR",2.57689910699811e-92,"<U+2265>99.99%"
"MONAI_UNETR","MONAI_Swin_UNETR",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","MONAI_Swin_UNETR",2.60296073298431e-248,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","MONAI_Swin_UNETR",6.70081917038287e-281,"<U+2265>99.99%"
"_Diff-UNet","MONAI_Swin_UNETR",0,"<U+2265>99.99%"
"_MedFormer","MONAI_Swin_UNETR",0,"<U+2265>99.99%"
"_SAM-Adapter","MONAI_Swin_UNETR",1,"<75%"
"nnU-Net_MedNeXt","MONAI_Swin_UNETR",0,"<U+2265>99.99%"
"nnU-Net_NexToU","MONAI_Swin_UNETR",9.68557652068949e-227,"<U+2265>99.99%"
"nnU-Net_ResEncL","MONAI_Swin_UNETR",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","MONAI_Swin_UNETR",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","MONAI_Swin_UNETR",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","MONAI_Swin_UNETR",0,"<U+2265>99.99%"
"nnU-Net_U-Net","MONAI_Swin_UNETR",0,"<U+2265>99.99%"
"nnU-Net_UniSeg","MONAI_Swin_UNETR",0,"<U+2265>99.99%"
"MONAI_LHU-Net","MONAI_UCTransNet",7.03055602103631e-139,"<U+2265>99.99%"
"MONAI_SegVol","MONAI_UCTransNet",7.49184465577453e-39,"<U+2265>99.99%"
"MONAI_Swin_UNETR","MONAI_UCTransNet",1,"<75%"
"MONAI_UCTransNet","MONAI_UCTransNet",NA,NA
"MONAI_UNEST","MONAI_UCTransNet",0.999999947805267,"<75%"
"MONAI_UNETR","MONAI_UCTransNet",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","MONAI_UCTransNet",8.518485325326e-88,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","MONAI_UCTransNet",4.8589254278999e-128,"<U+2265>99.99%"
"_Diff-UNet","MONAI_UCTransNet",1.56065868136285e-187,"<U+2265>99.99%"
"_MedFormer","MONAI_UCTransNet",2.48212217006181e-144,"<U+2265>99.99%"
"_SAM-Adapter","MONAI_UCTransNet",1,"<75%"
"nnU-Net_MedNeXt","MONAI_UCTransNet",0,"<U+2265>99.99%"
"nnU-Net_NexToU","MONAI_UCTransNet",1.28651791487132e-89,"<U+2265>99.99%"
"nnU-Net_ResEncL","MONAI_UCTransNet",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","MONAI_UCTransNet",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","MONAI_UCTransNet",2.51622186696276e-296,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","MONAI_UCTransNet",0,"<U+2265>99.99%"
"nnU-Net_U-Net","MONAI_UCTransNet",0,"<U+2265>99.99%"
"nnU-Net_UniSeg","MONAI_UCTransNet",5.7832319950117e-186,"<U+2265>99.99%"
"MONAI_LHU-Net","MONAI_UNEST",5.10612977096252e-169,"<U+2265>99.99%"
"MONAI_SegVol","MONAI_UNEST",2.84555864321083e-93,"<U+2265>99.99%"
"MONAI_Swin_UNETR","MONAI_UNEST",1,"<75%"
"MONAI_UCTransNet","MONAI_UNEST",5.22006690176719e-08,"<U+2265>99.99%"
"MONAI_UNEST","MONAI_UNEST",NA,NA
"MONAI_UNETR","MONAI_UNEST",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","MONAI_UNEST",1.38250599244697e-132,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","MONAI_UNEST",2.25264229881132e-183,"<U+2265>99.99%"
"_Diff-UNet","MONAI_UNEST",4.86218971558441e-215,"<U+2265>99.99%"
"_MedFormer","MONAI_UNEST",1.96096977093002e-225,"<U+2265>99.99%"
"_SAM-Adapter","MONAI_UNEST",1,"<75%"
"nnU-Net_MedNeXt","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_NexToU","MONAI_UNEST",1.06214327162481e-123,"<U+2265>99.99%"
"nnU-Net_ResEncL","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_U-Net","MONAI_UNEST",0,"<U+2265>99.99%"
"nnU-Net_UniSeg","MONAI_UNEST",1.21064589155933e-239,"<U+2265>99.99%"
