model,organ,contrast_type,25%,Median,75%
Diff-UNet,aorta,Arterial,0.8161939084529877,0.8989919722080231,0.9177591055631638
Diff-UNet,aorta,Venous,0.6989787667989731,0.7646981775760651,0.8683063685894012
Diff-UNet,gall_bladder,Arterial,0.817735955119133,0.8731068968772888,0.904659003019333
Diff-UNet,gall_bladder,Venous,0.8378286212682724,0.8912096917629242,0.9187169373035431
Diff-UNet,kidney_left,Arterial,0.9155553579330443,0.9281279444694519,0.937999963760376
Diff-UNet,kidney_left,Venous,0.9157359004020691,0.9289470314979553,0.940057784318924
Diff-UNet,kidney_right,Arterial,0.9256133437156676,0.938429355621338,0.948294162750244
Diff-UNet,kidney_right,Venous,0.9242638647556305,0.9366917610168456,0.9461808502674103
Diff-UNet,liver,Arterial,0.9583625793457032,0.9642865657806396,0.9682971835136414
Diff-UNet,liver,Venous,0.9650758504867554,0.9691737294197084,0.9724002182483673
Diff-UNet,pancreas,Arterial,0.8009568452835083,0.8413441777229309,0.8676423877477646
Diff-UNet,pancreas,Venous,0.8259450495243073,0.8602822422981262,0.8833316266536713
Diff-UNet,postcava,Arterial,0.7507138848304749,0.8059046566486359,0.850066214799881
Diff-UNet,postcava,Venous,0.7957974672317505,0.8451339304447174,0.8773372769355774
Diff-UNet,spleen,Arterial,0.9478006958961488,0.9576263427734376,0.9648926854133606
Diff-UNet,spleen,Venous,0.9528069943189622,0.9616612792015076,0.967862918972969
Diff-UNet,stomach,Arterial,0.926807701587677,0.9446072578430176,0.9544445276260376
Diff-UNet,stomach,Venous,0.9265284240245819,0.9452492594718932,0.9558955729007722
LHU-Net,aorta,Arterial,0.7940276563167572,0.8870939612388611,0.9097367227077484
LHU-Net,aorta,Venous,0.682689905166626,0.733698308467865,0.8313150405883789
LHU-Net,gall_bladder,Arterial,0.8169181644916534,0.8716021776199341,0.9043867886066437
LHU-Net,gall_bladder,Venous,0.8361104279756546,0.8882779479026794,0.9186293929815293
LHU-Net,kidney_left,Arterial,0.9137373566627502,0.9259095191955566,0.9361369609832764
LHU-Net,kidney_left,Venous,0.9141552746295928,0.9272679090499878,0.9384843409061432
LHU-Net,kidney_right,Arterial,0.9225835800170898,0.9354451596736908,0.9457623511552811
LHU-Net,kidney_right,Venous,0.9206655770540237,0.9335815012454987,0.943075716495514
LHU-Net,liver,Arterial,0.9586186856031418,0.964267909526825,0.9682856500148773
LHU-Net,liver,Venous,0.9636759757995605,0.9680213034152985,0.971275970339775
LHU-Net,pancreas,Arterial,0.7926176190376282,0.8325055241584778,0.8608192503452301
LHU-Net,pancreas,Venous,0.8156788200139999,0.8524250090122223,0.8762276470661163
LHU-Net,postcava,Arterial,0.736794114112854,0.7966827154159546,0.8431936502456665
LHU-Net,postcava,Venous,0.7761622667312622,0.8299735188484192,0.8656662702560425
LHU-Net,spleen,Arterial,0.9452306330204009,0.9558428823947906,0.9632028639316559
LHU-Net,spleen,Venous,0.949855625629425,0.9589900970458984,0.9655202627182008
LHU-Net,stomach,Arterial,0.9256673455238342,0.944069802761078,0.9548673033714294
LHU-Net,stomach,Venous,0.922601506114006,0.943403422832489,0.9545596390962601
MedFormer,aorta,Arterial,0.8643807768821716,0.9060656428337096,0.9251019358634948
MedFormer,aorta,Venous,0.701572373509407,0.7695876657962799,0.8766553848981857
MedFormer,gall_bladder,Arterial,0.833415687084198,0.8808326125144958,0.9102480709552765
MedFormer,gall_bladder,Venous,0.854449450969696,0.8974951505661011,0.923961341381073
MedFormer,kidney_left,Arterial,0.912797600030899,0.9261072874069214,0.9372274279594421
MedFormer,kidney_left,Venous,0.9145567417144777,0.928288608789444,0.9401673227548598
